sample,slide,mpp,reader
B_Vanderbilt_premal_07,syn://syn25060163,0.25,image
B_Vanderbilt_primary_01,syn://syn68383000,0.2525,
B_Vanderbilt_primary_02,syn://syn68383004,0.2525,
B_Vanderbilt_primary_03,syn://syn68383006,0.2525,
B_Vanderbilt_primary_04,syn://syn68383007,0.2525,
B_Vanderbilt_primary_05,syn://syn68383008,0.2525,
B_Vanderbilt_primary_06,syn://syn68383009,0.2525,
B_Vanderbilt_primary_07,syn://syn68383011,0.2525,
B_Vanderbilt_primary_08,syn://syn68383013,0.2525,
B_Vanderbilt_primary_09,syn://syn68383014,0.2525,
B_Vanderbilt_primary_10,syn://syn68383016,0.2525,
B_Vanderbilt_primary_11,syn://syn68383019,0.2525,
B_Vanderbilt_primary_12,syn://syn68383021,0.2525,
C_Duke_primary_01,syn://syn27056837,0.161,image
C_Duke_primary_02,syn://syn52289971,0.161,
C_WUSTL_primary_01,syn://syn27393120,0.5053,
C_HMS_primary_01,syn://syn68627335,,
C_HMS_primary_02,syn://syn68629518,0.1369,
C_Duke_primary_03,syn://syn27056838,0.161,image
C_Duke_primary_04,syn://syn52289972,0.161,
C_WUSTL_primary_02,syn://syn27393123,0.5053,
C_HMS_primary_03,syn://syn68627338,,
C_Duke_primary_05,syn://syn27056840,0.161,image
C_Duke_primary_06,syn://syn52289973,0.161,
C_WUSTL_primary_03,syn://syn27393124,0.5053,
C_HMS_primary_04,syn://syn68627339,,
C_Duke_primary_07,syn://syn27056841,0.161,image
C_Duke_primary_08,syn://syn52289974,0.161,
C_WUSTL_primary_04,syn://syn27393131,0.5053,
C_HMS_primary_05,syn://syn68627341,,
C_Duke_primary_09,syn://syn27056842,0.161,image
C_Duke_primary_10,syn://syn52289975,0.161,
C_WUSTL_primary_05,syn://syn27393133,0.5053,
C_HMS_primary_06,syn://syn68627342,,
C_Duke_primary_11,syn://syn27056843,0.161,image
C_Duke_primary_12,syn://syn52289976,0.161,
C_WUSTL_primary_06,syn://syn27393138,0.5053,
C_HMS_primary_07,syn://syn68627343,,
C_Duke_primary_13,syn://syn27056844,0.161,image
C_Duke_primary_14,syn://syn52289977,0.161,
C_WUSTL_primary_07,syn://syn27393156,0.5053,
C_HMS_primary_08,syn://syn68627344,,
C_Duke_primary_15,syn://syn27056845,0.161,image
C_Duke_primary_16,syn://syn52289978,0.161,
C_WUSTL_primary_08,syn://syn27393178,0.5053,
C_HMS_primary_09,syn://syn68627346,,
C_Duke_primary_17,syn://syn27056846,0.161,image
C_Duke_primary_18,syn://syn52289979,0.161,
C_WUSTL_primary_09,syn://syn27393191,0.5053,
C_HMS_primary_10,syn://syn68627347,,
C_Duke_primary_19,syn://syn27056847,0.161,image
C_Duke_primary_20,syn://syn52289980,0.161,
C_WUSTL_primary_10,syn://syn27393199,0.5053,
C_HMS_primary_11,syn://syn68627348,,
C_Duke_primary_21,syn://syn27056848,0.161,image
C_Duke_primary_22,syn://syn52289981,0.161,
C_WUSTL_primary_11,syn://syn27393207,0.5053,
C_Duke_primary_23,syn://syn27056849,0.161,image
AP_BU_atypia_01,syn://syn53640547,0.5031,
AP_BU_premal_01,syn://syn53640832,0.5,
AP_BU_premal_02,syn://syn53640861,0.5,
AP_BU_premal_03,syn://syn53640876,0.5,
AP_BU_premal_04,syn://syn53640880,0.5,
AP_BU_premal_05,syn://syn53640893,0.5,
AP_BU_premal_06,syn://syn53640903,0.5,
AP_BU_insitu_01,syn://syn53640924,0.5,
